job_id,model_family,gpu_id,minutes,label,ghost_type,ghost_onset
93,resnet,5,184,healthy,none,-1
94,efficientnet,1,223,healthy,none,-1
95,resnet,1,77,healthy,none,-1
96,efficientnet,4,237,healthy,none,-1
97,resnet,2,65,healthy,none,-1
98,unet2d,7,114,healthy,none,-1
99,unet2d,6,239,ghost,frozen,147
100,unet3d,4,228,healthy,none,-1
101,unet3d,5,135,healthy,none,-1
102,resnet,2,237,ghost,nan_loss,138
103,vit,0,138,healthy,none,-1
104,vit,3,236,healthy,none,-1
105,unet3d,4,160,healthy,none,-1
106,resnet,2,202,healthy,none,-1
107,unet2d,6,148,healthy,none,-1
108,unet3d,5,203,healthy,none,-1
109,unet3d,4,100,healthy,none,-1
110,resnet,7,180,ghost,nan_loss,129
111,unet3d,6,209,healthy,none,-1
112,unet2d,6,76,healthy,none,-1
113,resnet,6,184,ghost,frozen,101
114,resnet,2,209,ghost,frozen,138
115,resnet,2,110,healthy,none,-1
116,vit,3,68,ghost,nan_loss,46
117,unet2d,3,145,healthy,none,-1
118,unet2d,3,182,healthy,none,-1
119,efficientnet,3,219,healthy,none,-1
120,unet3d,4,104,healthy,none,-1
121,resnet,5,127,ghost,nan_loss,73
122,unet3d,2,220,healthy,none,-1
123,unet3d,1,76,healthy,none,-1
124,resnet,5,98,healthy,none,-1
125,vit,0,191,healthy,none,-1
126,efficientnet,0,185,healthy,none,-1
127,resnet,4,74,ghost,nan_loss,50
128,unet3d,2,214,healthy,none,-1
129,unet3d,0,138,healthy,none,-1
130,unet3d,1,86,healthy,none,-1
131,efficientnet,1,66,healthy,none,-1
132,unet3d,0,210,healthy,none,-1
133,unet3d,2,100,healthy,none,-1
134,unet2d,3,151,healthy,none,-1
135,vit,4,208,healthy,none,-1
136,efficientnet,4,173,ghost,frozen,95
137,vit,3,71,healthy,none,-1
138,efficientnet,3,176,healthy,none,-1
139,unet3d,7,96,ghost,frozen,40
140,unet2d,5,223,healthy,none,-1
141,resnet,2,234,healthy,none,-1
142,efficientnet,5,175,ghost,stalled,125
143,unet2d,3,221,healthy,none,-1
144,resnet,1,133,healthy,none,-1
145,unet3d,6,185,ghost,stalled,152
146,efficientnet,7,188,ghost,stalled,89
147,unet2d,4,231,healthy,none,-1
148,vit,5,134,ghost,stalled,98
149,unet2d,3,140,ghost,stalled,109
150,unet3d,4,158,ghost,stalled,124
151,efficientnet,3,189,ghost,stalled,137
152,resnet,1,98,healthy,none,-1
153,vit,3,69,ghost,stalled,27
154,unet2d,0,62,ghost,nan_loss,48
155,vit,5,205,healthy,none,-1
156,efficientnet,0,84,healthy,none,-1
157,unet2d,3,100,ghost,stalled,60
158,resnet,2,184,healthy,none,-1
159,efficientnet,2,134,ghost,frozen,77
160,unet3d,7,82,healthy,none,-1
161,unet2d,0,191,ghost,stalled,102
162,unet3d,4,216,ghost,stalled,182
163,resnet,2,92,healthy,none,-1
164,efficientnet,1,168,ghost,frozen,124
165,unet3d,5,235,ghost,stalled,127
166,unet2d,3,228,healthy,none,-1
167,resnet,4,120,healthy,none,-1
168,unet3d,6,95,ghost,nan_loss,54
169,vit,3,156,healthy,none,-1
170,unet3d,2,216,healthy,none,-1
171,unet3d,2,62,healthy,none,-1
172,unet2d,6,198,healthy,none,-1
173,vit,4,189,healthy,none,-1
174,efficientnet,4,85,healthy,none,-1
175,resnet,2,129,healthy,none,-1
176,resnet,1,166,healthy,none,-1
177,resnet,5,160,healthy,none,-1
178,vit,0,132,healthy,none,-1
179,unet2d,7,134,healthy,none,-1
180,unet2d,6,239,healthy,none,-1
181,vit,5,148,healthy,none,-1
182,unet3d,3,70,healthy,none,-1
183,vit,1,95,ghost,stalled,38
184,efficientnet,6,62,ghost,frozen,37
185,efficientnet,4,142,healthy,none,-1
186,vit,6,122,ghost,frozen,56
187,unet2d,6,137,healthy,none,-1
188,vit,0,163,healthy,none,-1
189,unet2d,3,145,ghost,stalled,60
190,efficientnet,3,97,ghost,frozen,34
191,resnet,7,144,healthy,none,-1
192,vit,3,191,ghost,frozen,142
193,resnet,4,152,ghost,stalled,118
194,resnet,0,85,healthy,none,-1
195,unet2d,3,118,ghost,nan_loss,43
196,unet3d,5,88,healthy,none,-1
197,efficientnet,5,210,healthy,none,-1
198,efficientnet,3,119,healthy,none,-1
199,vit,4,190,healthy,none,-1
200,unet2d,6,118,ghost,stalled,85
201,vit,6,209,healthy,none,-1
202,efficientnet,2,207,healthy,none,-1
203,unet2d,5,152,healthy,none,-1
204,efficientnet,7,173,ghost,frozen,80
205,unet2d,7,208,healthy,none,-1
206,resnet,4,237,ghost,nan_loss,96
207,unet3d,0,80,healthy,none,-1
208,unet2d,0,109,healthy,none,-1
209,vit,6,63,healthy,none,-1
210,unet2d,7,198,healthy,none,-1
211,vit,6,103,healthy,none,-1
212,efficientnet,4,174,healthy,none,-1
213,unet2d,6,185,ghost,frozen,111
214,unet2d,0,193,healthy,none,-1
215,unet3d,3,139,healthy,none,-1
216,resnet,5,107,healthy,none,-1
217,efficientnet,3,117,ghost,nan_loss,93
218,unet3d,1,219,healthy,none,-1
219,vit,4,122,healthy,none,-1
220,vit,6,83,healthy,none,-1
221,unet2d,0,141,ghost,frozen,57
222,efficientnet,4,141,ghost,nan_loss,46
223,unet3d,5,152,ghost,stalled,92
224,unet3d,5,218,ghost,nan_loss,177
225,resnet,3,198,ghost,nan_loss,131
226,efficientnet,7,210,healthy,none,-1
227,unet3d,1,229,healthy,none,-1
228,unet2d,7,161,healthy,none,-1
229,unet3d,2,163,healthy,none,-1
230,efficientnet,7,105,healthy,none,-1
231,unet2d,6,183,ghost,nan_loss,77
232,unet3d,6,93,healthy,none,-1
233,unet3d,3,112,ghost,nan_loss,37
234,efficientnet,1,230,healthy,none,-1
235,efficientnet,0,123,healthy,none,-1
236,resnet,0,111,healthy,none,-1
237,resnet,5,71,healthy,none,-1
238,resnet,5,211,healthy,none,-1
239,vit,0,72,healthy,none,-1
240,resnet,0,171,ghost,stalled,123
